ja
Conversation ID,Entry ID,Actor,Original Text,Translated Text [ja],Original Menu,Translated Menu [ja],Description
1,0,Player,,,,,
1,1,NPC,This is just a test message.,これはただのテストメッセージです。,,,
1,2,NPC,This is just a test message 2.,これはただのテストメッセージです。2,,,
1,3,NPC,Test 3.,これはただのテストメッセージです。3,,,
1,4,NPC,Second time talking,２度目,,,
1,5,NPC,Talking meh ha,へへ,,,
1,6,NPC,End this!,終わらせて,,,
1,7,Player,I'm just talking to an xBot,Xbot,,,
1,8,Player,Nothing else to do here lol,はは,,,
2,0,Player,,,,,
2,1,NPC,What are you looking at?,なに見てんだよ！,,,
2,2,NPC,You got a problem or something?,なんか問題でもあるか！？,,,
2,3,Player,"(Geez, what's wrong with him? Better let him be.)",（なんだよこいつ。ほっといたほうが。。）,,,
2,4,Player,I'll break your face!,顔こわしてやる！,,,
2,5,Player,Testing #1,,,,
2,6,Player,Testing #2,,,,
2,7,Player,Moar Test,,,,
3,0,Player,,,,,
3,1,Player,The door is locked.,カギかかってるようです。,,,
