PressAnyKey,Press Any Key
StartGame,Start Game
Option,Option
Credits,Credits
QuitGame,Quit Game
Option/Game/Brightness,Brightness
Option/Game/CameraSensitivity,Camera Sensitivity
Option/Game/InvertLookHorizontal,Invert Look Horizontal
Option/Game/InvertLookVertical,Invert Look Vertical
Option/Game/GamepadIcon,Gamepad Icon
Option/Game/FontSize,Font Size
Option/Game/Language,Language
Option/Graphic/ScreenResolution,Screen Resolution
Option/Graphic/DisplayMode,Display Mode
Option/Graphic/AntiAlias,Anti-Alias
Option/Graphic/Vsync,Vsync
Option/Graphic/Vignette,Vignette
Option/Graphic/DepthOfField,Depth Of Field
Option/Graphic/MotionBlur,Motion Blur
Option/Graphic/Bloom,Bloom
Option/Graphic/AmbientOcclusion,AmbientOcclusion
Option/Audio/AudioSpeaker,AudioSpeaker
Option/Audio/MasterVolume,MasterVolume
Option/Audio/BGMVolume,BGMVolume
Option/Audio/SFXVolume,SFXVolume
